smiles,pIC50
NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,11.173277479831007
CSc1cc(F)cc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,11.082494490447454
Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(CF)c4)c(F)c3)c2)cnn1C,11.057991946977689
CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,11.013228265733757
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(CF)c2)c(F)c1,11.0
CSc1cccc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,11.0
O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)cn2CCCN1[C@H](CO)c1cccc(Cl)c1,11.0
NC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.987162775294829
NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Cl)c1,10.924453038607467
Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(CF)c3)c(F)c2)c1,10.91721462968355
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.896196279044045
NC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.856985199745903
CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Cl)c1,10.844663962534938
CSc1cc(F)cc([C@@H](CO)NC(=O)c2ccc(-c3nc(-c4cn(C)nc4C)cnc3N)cc2F)c1,10.8153085691824
Cc1nn(C(F)F)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(CF)c3)c(F)c2)c1,10.774690718274137
Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.761953896871203
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.73754891026957
Nc1ncc([C@@H]2CC[C@@H](O)[C@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.7281583934635
O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)cn2CCCN1[C@H](CO)c1cc(F)cc(Cl)c1,10.721246399047171
NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.712198270069774
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(CF)c2)c(F)c1,10.705533773838408
CSc1cc(F)cc([C@@H](CO)NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)cnc3N)cc2F)c1,10.703334809738468
Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(CF)c4)c(F)c3)c2)cn1,10.701146923590294
NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,10.69897000433602
CC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.69680394257951
Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(CF)c4)c(F)c3)c2)cnn1C(F)F,10.681936665037238
CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.681936665037238
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(C(F)F)c2)c(F)c1,10.681936665037238
Cn1nccc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CN)c3cccc(Cl)c3)c(F)c2)c1,10.679853713888946
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Br)c1,10.679853713888946
NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Cl)c1,10.67778070526608
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Cl)c2)c(F)c1,10.65364702554936
Nc1ncc(C2CCC(O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(CF)c2)c(F)c1,10.640164517660113
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.638272163982409
Nc1ncc(C2CCC(O)CC2)nc1-c1ccc(C(=O)N[C@@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.630784142589857
CCNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,10.605548319173783
Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(CF)c4)c(F)c3)c2)cnn1C,10.58838029403677
O=C1c2cc(-c3ccnc(N[C@H]4[C@@H]5COC[C@@H]54)n3)cn2CCCN1[C@H](CO)c1cccc(Cl)c1,10.585026652029182
Nc1ncc([C@@H]2CC[C@@H](O)C(F)(F)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.58335949266172
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.58335949266172
CSc1cccc([C@@H](CO)NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)cnc3N)cc2F)c1,10.570247719997592
CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Cl)c1,10.549750891680638
Nc1ncc(C2CCC(O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.54515513999149
Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(CF)c3)c(F)c2)c1,10.542118103266008
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CCC[C@@H](O)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.536107011014092
CCNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.522878745280336
Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(C(F)F)c4)c(F)c3)c2)cnn1C,10.511449283499555
Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(Br)c3)c(F)c2)c1,10.508638306165729
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.498940737782249
O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)cn2CCCN1[C@H](CO)c1ccccc1,10.481486060122112
Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Br)c2)c(F)c1,10.46470587995723
O=C1c2cc(-c3ccnc(NC4CCOCC4F)n3)cn2CCCN1[C@H](CO)c1cccc(Cl)c1,10.455931955649724
Nc1ncc(C2CCC(=O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.443697499232712
Nc1ncc([C@@H]2CC[C@@H](O)[C@@H](F)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.440093374963888
Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CN)c4cccc(Cl)c4)c(F)c3)c2)cnn1C,10.438898616350944
Cc1nn(C)c(C)c1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CN)c3cccc(Cl)c3)c(F)c2)c1,10.438898616350944
Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(C(F)F)c4)c(F)c3)c2)cnn1C,10.430626090384957
COC1CCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CN)c4cccc(Cl)c4)c(F)c3)n2)CC1,10.402304814074489
Nc1ncc([C@H]2CC[C@H](O)C(F)(F)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.401209493236886
O=C1c2cc(-c3ccnc(NC4CC5(COC5)C4)n3)cn2CCCN1[C@H](CO)c1ccccc1,10.397940008672036
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](OC)CC3)cnc2N)cc1F)c1cccc(Br)c1,10.396855627379818
Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(C(F)F)c2)c(F)c1,10.361510743045365
Nc1ncc([C@H]2CC[C@H](O)[C@@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.35066514128786
NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,10.344861565188618
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,10.334419008982048
Nc1ncc(C2CCC(CO)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.33348201944512
Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(C(F)F)c3)c(F)c2)c1,10.330683119433887
Nc1ncc(C2CCC(O)C(F)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.328827157284916
Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Br)c2)c(F)c1,10.314258261397736
Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(Br)c3)c(F)c2)c1,10.312471038785366
Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CN)c3cccc(Cl)c3)c(F)c2)c1,10.303643611266669
O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)cn2C[C@@H](F)CN1[C@H](CO)c1cccc(Cl)c1,10.30102999566398
NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCCCC3)cnc2N)cc1F)c1cccc(Cl)c1,10.296708621881338
Nc1ncc([C@H]2CC[C@H](O)[C@@H](F)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.292429823902063
CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CCC[C@H](O)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.254144804826272
COC(=O)N[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(Br)c4)c(F)c3)n2)CC1,10.252588192113576
Nc1ncc([C@@H]2CC[C@@H](O)[C@H](F)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.243363891754152
Cn1nccc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(CF)c3)c(F)c2)c1,10.222573177610688
Nc1ncc(C2CCCC(O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.211831628858832
