molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL3895057,0.00671,nM,NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,11.173277479831007,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f430>
CHEMBL4114093,0.00827,nM,CSc1cc(F)cc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,11.082494490447454,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f4a0>
CHEMBL4110872,0.00875,nM,Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(CF)c4)c(F)c3)c2)cnn1C,11.057991946977689,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f580>
CHEMBL4111422,0.0097,nM,CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,11.013228265733757,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f660>
CHEMBL4114147,0.01,nM,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(CF)c2)c(F)c1,11.0,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f740>
CHEMBL4108345,0.01,nM,CSc1cccc([C@@H](CO)NC(=O)c2ccc(-c3nc(C4CCOCC4)cnc3N)cc2F)c1,11.0,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f7b0>
CHEMBL3608588,0.01,nM,O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)cn2CCCN1[C@H](CO)c1cccc(Cl)c1,11.0,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f820>
CHEMBL4109252,0.0103,nM,NC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.987162775294829,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f890>
CHEMBL3923033,0.0119,nM,NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Cl)c1,10.924453038607467,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615f9e0>
CHEMBL4110508,0.0121,nM,Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(CF)c3)c(F)c2)c1,10.91721462968355,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615fa50>
CHEMBL4108076,0.0127,nM,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,10.896196279044045,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615fac0>
CHEMBL4107980,0.0139,nM,NC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,10.856985199745903,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615fb30>
